"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2008-11",,,,,"0","1,S","0","1,S",,,,,"0","1,S","29","1,S","0","1,S",,,"0.00","1,,S,30,+","89","1,S,03,",,,,,"0.00","1,,,S",,,"81.1","1,,,S",,
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2008-12",,,,,"6","1,S","3","1,S",,,,,"0","1,S","14","1,S","0","1,S",,,"0.39","1,,S,09,","80","1,S,08,",,,,,"0.76","1,,,S",,,"70.0","1,,,S",,
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2009-01",,,,,"7","3,S","6","3,S",,,,,"0","4,S","3","4,S","0","4,S",,,"0.79","3,,S,27,","74","4,S,17,",,,,,"1.82","3,,,S",,,"66.7","4,,,S",,
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2009-02",,,"3","3,S","4",",S","2",",S","0","2,S","0","2,S","0","1,S","22","1,S","0","1,S","45","2,S,28,","0.35",",,S,14,","78","1,S,04,",,,"95","1,S","0.61",",,,S","61.3","3,S","73.1","1,,,S","49.4","2,,,S"
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2009-03",,,"127","2,S","5",",S","1",",S","0","1,S","0","1,S","0","1,S","30","1,S","1","1,S","45","1,S,01,","0.53",",,S,25,","101","1,S,30,",,,"6","1,S","0.70",",,,S","69.2","2,S","82.7","1,,,S","55.6","1,,,S"
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2009-04",,,"392","3,S","4",",S","3",",S","0","2,S","0","2,S","0","1,S","29","1,S","20","1,S","56","2,S,10,","0.46",",,S,07,","105","1,S,30,",,,"0","1,S","0.89",",,,S","79.4","3,S","92.8","1,,,S","66.0","2,,,S"
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2009-05",,,"634","4,S","2",",S","1",",S","0","4,S","0","4,S","0",",S","31",",S","30",",S","66","4,S,06,","0.21",",,S,10,","111",",S,18,",,,"0",",S","0.23",",,,S","87.8","4,S","102.0",",,,S","73.5","4,,,S"
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2009-06",,,,,"4","3,S","1","3,S",,,,,"0","4,S","26","4,S","26","4,S",,,"0.10","3,,S,13,","114","4,S,28,",,,,,"0.27","3,,,S",,,"105.9","4,,,S",,
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2009-07",,,,,"10","1,S","9","1,S",,,,,"0","4,S","27","4,S","24","4,S",,,"3.51","1,,S,22,","110","4,S,07,",,,,,"9.98","1,,,S",,,"97.8","4,,,S",,
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2009-08",,,,,"10",",S","8",",S",,,,,"0","2,S","29","2,S","23","2,S",,,"1.10",",,S,05,","98","2,S,10,",,,,,"3.67",",,,S",,,"92.9","2,,,S",,
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2009-09",,,,,"3","2,S","3","2,S",,,,,"0","1,S","29","1,S","27","1,S",,,"1.41","2,,S,04,","96","1,S,30,+",,,,,"1.94","2,,,S",,,"93.5","1,,,S",,
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2009-10",,,"310","3,S","0",",S","0",",S","0","3,S","0","3,S","0",",S","31",",S","15",",S","53","3,S,28,","0.00",",,S,31,+","96",",S,02,",,,"0",",S","0.00",",,,S","76.0","3,S","89.7",",,,S","62.3","3,,,S"
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2009-11",,,"44","4,S","0","3,S","0","3,S","0","2,S","0","2,S","0","3,S","25","3,S","0","3,S","43","2,S,22,","0.00","3,,S,30,+","86","3,S,01,",,,"72","3,S","0.00","3,,,S","64.0","4,S","77.6","3,,,S","50.4","2,,,S"
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2009-12",,,"0","3,S","1",",S","1",",S","0","3,S","0","3,S","0",",S","17",",S","0",",S","36","3,S,26,+","1.57",",,S,25,","77",",S,04,",,,"254",",S","1.57",",,,S","55.8","3,S","69.2",",,,S","42.5","3,,,S"
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2010-01",,,,,"2","2,S","1","2,S",,,,,"0",",S","4",",S","0",",S",,,"0.28","2,,S,30,","74",",S,27,",,,,,"0.33","2,,,S",,,"61.1",",,,S",,
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2010-02",,,,,"3","1,S","2","1,S","0","5,S","0","5,S","0","3,S","18","3,S","0","3,S","42","5,S,04,","0.69","1,,S,09,","81","3,S,28,",,,,,"0.82","1,,,S","60.5","8,S","72.6","3,,,S","48.4","5,,,S"
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2010-03",,,"251","3,S","1",",S","1",",S","0","2,S","0","2,S","0","1,S","29","1,S","14","1,S","52","2,S,08,+","0.11",",,S,01,","96","1,S,24,",,,"4","1,S","0.11",",,,S","73.7","3,S","86.8","1,,,S","60.6","2,,,S"
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2010-04",,,,,"1","5,S","1","5,S",,,,,,,,,,,,,"0.11","5,,S,22,",,,,,,,"0.11","5,,,S",,,,,,
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2010-05",,,"676","4,S","4",",S","3",",S","0","3,S","0","3,S","0","1,S","30","1,S","30","1,S","64","3,S,29,","2.05",",,S,29,","114","1,S,26,",,,"0","1,S","2.49",",,,S","89.7","4,S","103.4","1,,,S","76.0","3,,,S"
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2010-06",,,,,"5",",S","2",",S",,,,,"0",",S","30",",S","30",",S",,,"0.39",",,S,24,","114",",S,20,",,,,,"0.65",",,,S",,,"103.5",",,,S",,
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2010-07",,,,,"10","2,S","9","2,S",,,,,"0","2,S","29","2,S","23","2,S",,,"2.17","2,,S,28,","104","2,S,03,",,,,,"7.11","2,,,S",,,"95.0","2,,,S",,
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2010-08",,,,,"16",",S","15",",S",,,,,"0","2,S","29","2,S","18","2,S",,,"8.38",",,S,01,","95","2,S,04,",,,,,"19.14",",,,S",,,"90.7","2,,,S",,
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2010-09",,,,,"6",",S","5",",S",,,,,"0","2,S","28","2,S","16","2,S",,,"1.22",",,S,13,","96","2,S,02,",,,,,"3.27",",,,S",,,"90.6","2,,,S",,
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2010-10",,,"351","5,S","1","2,S","1","2,S","0","4,S","0","4,S","0","1,S","30","1,S","17","1,S","56","4,S,28,+","0.28","2,,S,22,","93","1,S,04,",,,"0","1,S","0.28","2,,,S","77.8","5,S","88.0","1,,,S","67.6","4,,,S"
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2010-11",,,,,"0","4,S","0","4,S","0","5,S","0","5,S","0","3,S","27","3,S","0","3,S","46","5,S,30,","0.00","4,,S,30,+","87","3,S,08,",,,,,"0.00","4,,,S","66.6","7,S","80.6","3,,,S","52.6","5,,,S"
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2010-12",,,"0","3,S","2","2,S","2","2,S","0","3,S","0","3,S","0",",S","12",",S","0",",S","36","3,S,27,","0.84","2,,S,31,","75",",S,01,",,,"285",",S","1.30","2,,,S","54.7","3,S","68.6",",,,S","40.9","3,,,S"
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2011-01",,,,,"0","2,S","0","2,S",,,,,"0","3,S","2","3,S","0","3,S",,,"0.00","2,,S,31,+","70","3,S,31,",,,,,"0.00","2,,,S",,,"61.3","3,,,S",,
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2011-02",,,"0","5,S","8","3,S","6","3,S","0","5,S","0","5,S","0","2,S","8","2,S","0","2,S","44","5,S,11,","0.43","3,,S,27,+","76","2,S,06,",,,"164","2,S","1.66","3,,,S","57.8","5,S","68.0","2,,,S","47.6","5,,,S"
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2011-03",,,,,"3","1,S","0","1,S",,,,,"0","1,S","26","1,S","3","1,S",,,"0.08","1,,S,29,","91","1,S,27,",,,,,"0.16","1,,,S",,,"81.2","1,,,S",,
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2011-04",,,,,"5","3,S","2","3,S",,,,,"0","2,S","28","2,S","10","2,S",,,"0.36","3,,S,11,","103","2,S,26,",,,,,"0.76","3,,,S",,,"89.1","2,,,S",,
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2011-05",,,,,"5",",S","2",",S","0","5,S","0","5,S","0","1,S","30","1,S","30","1,S","70","5,S,06,","0.22",",,S,27,","111","1,S,17,",,,,,"0.52",",,,S","89.7","6,S","104.0","1,,,S","75.5","5,,,S"
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2011-06",,,,,"11","3,S","8","3,S",,,,,,,,,,,,,"0.69","3,,S,01,",,,,,,,"3.39","3,,,S",,,,,,
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2011-07",,,,,"11","1,S","8","1,S",,,,,"0","4,S","27","4,S","20","4,S",,,"3.86","1,,S,09,","100","4,S,12,",,,,,"8.58","1,,,S",,,"92.7","4,,,S",,
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2011-08",,,,,"10","2,S","8","2,S",,,,,"0","4,S","27","4,S","18","4,S",,,"4.88","2,,S,11,","99","4,S,01,",,,,,"14.02","2,,,S",,,"91.5","4,,,S",,
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2011-09",,,,,"4",",S","4",",S",,,,,"0","3,S","27","3,S","23","3,S",,,"1.93",",,S,16,","95","3,S,14,",,,,,"2.60",",,,S",,,"92.0","3,,,S",,
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2011-10",,,,,"2",",S","2",",S","0","5,S","0","5,S","0","2,S","29","2,S","16","2,S","49","5,S,14,","0.24",",,S,24,","94","2,S,12,",,,,,"0.44",",,,S","76.7","6,S","88.9","2,,,S","64.6","5,,,S"
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2011-11",,,"78","4,S","1",",S","0",",S","0","3,S","0","3,S","0","1,S","29","1,S","1","1,S","46","3,S,30,","0.04",",,S,05,","91","1,S,28,",,,"6","1,S","0.04",",,,S","67.9","4,S","81.0","1,,,S","54.7","3,,,S"
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2011-12",,,,,"0",",S","0",",S",,,,,"0",",S","16",",S","0",",S",,,"0.00",",,S,31,+","80",",S,03,",,,,,"0.00",",,,S",,,"70.8",",,,S",,
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2012-01",,,,,"4",",S","4",",S",,,,,"0","2,S","0","2,S","0","2,S",,,"1.42",",,S,16,","69","2,S,01,",,,,,"2.49",",,,S",,,"62.9","2,,,S",,
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2012-02",,,"0","5,S","5","1,S","3","1,S","0","4,S","0","4,S","0","1,S","4","1,S","0","1,S","35","4,S,08,","0.75","1,,S,13,","76","1,S,29,",,,"236","1,S","1.31","1,,,S","55.0","5,S","66.4","1,,,S","43.7","4,,,S"
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2012-03",,,,,"1",",S","1",",S",,,,,"0","2,S","29","2,S","1","2,S",,,"0.20",",,S,05,","91","2,S,30,",,,,,"0.20",",,,S",,,"79.7","2,,,S",,
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2012-04",,,,,"5",",S","5",",S",,,,,"0","1,S","29","1,S","16","1,S",,,"2.09",",,S,11,","96","1,S,09,",,,,,"3.41",",,,S",,,"89.8","1,,,S",,
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2012-05",,,,,"2","1,S","0","1,S",,,,,"0",",S","31",",S","29",",S",,,"0.04","1,,S,16,+","114",",S,31,",,,,,"0.08","1,,,S",,,"101.0",",,,S",,
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2012-06",,,,,"3",",S","1",",S",,,,,"0",",S","30",",S","30",",S",,,"0.20",",,S,08,","114",",S,02,",,,,,"0.32",",,,S",,,"107.6",",,,S",,
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2012-07",,,,,"10",",S","8",",S",,,,,"0","1,S","30","1,S","26","1,S",,,"5.05",",,S,26,","112","1,S,01,",,,,,"9.99",",,,S",,,"98.0","1,,,S",,
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2012-08",,,,,"12",",S","10",",S",,,,,"0","2,S","29","2,S","20","2,S",,,"2.21",",,S,25,","98","2,S,17,",,,,,"7.52",",,,S",,,"90.8","2,,,S",,
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2012-09",,,,,"8","1,S","5","1,S","0","5,S","0","5,S","0","4,S","26","4,S","20","4,S","69","5,S,28,","0.67","1,,S,15,","95","4,S,13,",,,,,"1.90","1,,,S","82.8","8,S","91.0","4,,,S","74.5","5,,,S"
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2012-10",,,,,"0",",S","0",",S",,,,,"0",",S","31",",S","9",",S",,,"0.00",",,S,31,+","94",",S,02,",,,,,"0.00",",,,S",,,"87.2",",,,S",,
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2012-11",,,"39","4,S","1",",S","0",",S","0","3,S","0","3,S","0","1,S","28","1,S","0","1,S","42","3,S,30,","0.06",",,S,29,","85","1,S,01,",,,"54","1,S","0.06",",,,S","64.3","4,S","77.6","1,,,S","51.1","3,,,S"
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2012-12",,,"0","4,S","3",",S","3",",S","0","4,S","0","4,S","0",",S","11",",S","0",",S","38","4,S,24,","1.06",",,S,29,","77",",S,09,",,,"277",",S","2.16",",,,S","54.8","4,S","65.5",",,,S","44.0","4,,,S"
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2013-01","0","S","0","4,S","1",",S","1",",S","0","4,S","0","4,S","0",",S","2",",S","0",",S","36","4,S,11,","1.49",",,S,18,","72",",S,28,",,,"375",",S","1.49",",,,S","50.7","4,S","61.2",",,,S","40.1","4,,,S"
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2013-02","0","S","0","5,S","9",",S","8",",S","0","5,S","0","5,S","0","1,S","11","1,S","0","1,S","40","5,S,07,","1.77",",,S,05,","73","1,S,13,",,,"175","1,S","5.91",",,,S","57.2","5,S","67.3","1,,,S","47.2","5,,,S"
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2013-03",,,,,"4",",S","3",",S","0","5,S","0","5,S","0","2,S","29","2,S","0","2,S","47","5,S,03,","0.63",",,S,15,","87","2,S,21,",,,,,"1.05",",,,S","68.2","6,S","80.5","2,,,S","55.8","5,,,S"
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2013-04",,,"343","4,S","1",",S","0",",S","0","3,S","0","3,S","0","2,S","28","2,S","17","2,S","58","3,S,06,","0.08",",,S,10,","98","2,S,30,",,,"0","2,S","0.08",",,,S","78.0","4,S","91.1","2,,,S","64.8","3,,,S"
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2013-05",,,,,"2",",S","0",",S",,,,,,,,,,,,,"0.09",",,S,13,",,,,,,,"0.17",",,,S",,,,,,
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2013-06",,,,,"6","2,S","4","2,S",,,,,,,,,,,,,"8.27","2,,S,15,",,,,,,,"12.06","2,,,S",,,,,,
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2013-07",,,,,"13",",S","11",",S",,,,,,,,,,,,,"4.03",",,S,20,",,,,,,,"12.43",",,,S",,,,,,
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2013-08",,,,,"17",",S","12",",S",,,,,,,,,,,,,"5.87",",,S,15,",,,,,,,"23.81",",,,S",,,,,,
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2013-09",,,,,"7",",S","6",",S",,,,,,,,,,,,,"1.18",",,S,06,",,,,,,,"3.13",",,,S",,,,,,
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2013-10",,,,,"6","1,S","3","1,S",,,,,,,,,,,,,"1.04","1,,S,04,",,,,,,,"1.58","1,,,S",,,,,,
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2013-11",,,,,"2",",S","1",",S",,,,,,,,,,,,,"3.62",",,S,08,",,,,,,,"3.67",",,,S",,,,,,
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2013-12",,,,,"0",",S","0",",S",,,,,,,,,,,,,"0.00",",,S,31,+",,,,,,,"0.00",",,,S",,,,,,
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2014-01",,,,,"3",",S","3",",S",,,,,,,,,,,,,"6.38",",,S,22,",,,,,,,"6.80",",,,S",,,,,,
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2014-02",,,,,"4",",S","2",",S",,,,,,,,,,,,,"0.20",",,S,04,",,,,,,,"0.47",",,,S",,,,,,
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2014-03",,,,,"9",",S","6",",S",,,,,,,,,,,,,"1.20",",,S,11,",,,,,,,"3.19",",,,S",,,,,,
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2014-04",,,,,"6",",S","6",",S",,,,,,,,,,,,,"0.45",",,S,19,",,,,,,,"1.88",",,,S",,,,,,
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2014-05",,,,,"4",",S","3",",S",,,,,,,,,,,,,"0.39",",,S,13,",,,,,,,"0.81",",,,S",,,,,,
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2014-06",,,,,"4","1,S","3","1,S",,,,,,,,,,,,,"2.91","1,,S,29,",,,,,,,"3.42","1,,,S",,,,,,
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2014-07",,,,,"9","1,S","8","1,S",,,,,,,,,,,,,"2.61","1,,S,16,",,,,,,,"9.24","1,,,S",,,,,,
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2014-08",,,,,"6","1,S","5","1,S",,,,,,,,,,,,,"4.02","1,,S,16,",,,,,,,"7.26","1,,,S",,,,,,
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2014-09",,,,,"9",",S","8",",S",,,,,,,,,,,,,"8.17",",,S,06,",,,,,,,"22.30",",,,S",,,,,,
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2014-10",,,,,"4",",S","4",",S",,,,,,,,,,,,,"0.87",",,S,08,",,,,,,,"2.01",",,,S",,,,,,
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2014-11",,,,,"1",",S","1",",S",,,,,,,,,,,,,"3.54",",,S,08,",,,,,,,"3.54",",,,S",,,,,,
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2014-12",,,,,"0",",S","0",",S",,,,,,,,,,,,,"0.00",",,S,31,+",,,,,,,"0.00",",,,S",,,,,,
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2015-01",,,,,"2",",S","0",",S",,,,,,,,,,,,,"0.04",",,S,14,",,,,,,,"0.06",",,,S",,,,,,
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2015-02",,,,,"6","1,S","6","1,S",,,,,,,,,,,,,"1.51","1,,S,20,",,,,,,,"3.83","1,,,S",,,,,,
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2015-03",,,,,"10","1,S","9","1,S",,,,,,,,,,,,,"3.92","1,,S,30,",,,,,,,"10.56","1,,,S",,,,,,
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2015-04",,,,,"9",",S","8",",S",,,,,,,,,,,,,"4.33",",,S,05,",,,,,,,"9.47",",,,S",,,,,,
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2015-05",,,,,"3","1,S","3","1,S",,,,,,,,,,,,,"3.15","1,,S,15,",,,,,,,"4.29","1,,,S",,,,,,
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2015-06",,,,,"6",",S","5",",S",,,,,,,,,,,,,"0.54",",,S,21,",,,,,,,"1.67",",,,S",,,,,,
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2015-07",,,,,"13",",S","11",",S",,,,,,,,,,,,,"7.48",",,S,18,",,,,,,,"21.94",",,,S",,,,,,
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2015-08",,,,,"12",",S","9",",S",,,,,,,,,,,,,"1.94",",,S,12,",,,,,,,"4.63",",,,S",,,,,,
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2015-09",,,,,"2",",S","2",",S",,,,,,,,,,,,,"2.56",",,S,23,",,,,,,,"3.68",",,,S",,,,,,
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2015-10",,,,,"5",",S","4",",S",,,,,,,,,,,,,"0.35",",,S,15,",,,,,,,"1.09",",,,S",,,,,,
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2015-11",,,,,"2",",S","0",",S",,,,,,,,,,,,,"0.08",",,S,05,",,,,,,,"0.12",",,,S",,,,,,
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2015-12",,,,,"2",",S","1",",S",,,,,,,,,,,,,"0.28",",,S,11,",,,,,,,"0.32",",,,S",,,,,,
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2016-01",,,,,"4",",S","2",",S",,,,,,,,,,,,,"0.15",",,S,30,",,,,,,,"0.30",",,,S",,,,,,
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2016-02",,,,,"2",",S","2",",S",,,,,,,,,,,,,"0.55",",,S,20,",,,,,,,"0.73",",,,S",,,,,,
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2016-03",,,,,"9",",S","6",",S",,,,,,,,,,,,,"1.26",",,S,06,",,,,,,,"3.57",",,,S",,,,,,
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2016-04",,,,,"4",",S","0",",S",,,,,,,,,,,,,"0.09",",,S,07,",,,,,,,"0.21",",,,S",,,,,,
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2016-05",,,,,"7","1,S","3","1,S",,,,,,,,,,,,,"0.61","1,,S,23,",,,,,,,"1.02","1,,,S",,,,,,
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2016-06",,,,,"5",",S","5",",S",,,,,,,,,,,,,"0.55",",,S,16,",,,,,,,"1.78",",,,S",,,,,,
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2016-07",,,,,"13",",S","10",",S",,,,,,,,,,,,,"4.13",",,S,06,",,,,,,,"17.11",",,,S",,,,,,
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2016-08",,,,,"10",",S","7",",S",,,,,,,,,,,,,"3.72",",,S,10,",,,,,,,"10.72",",,,S",,,,,,
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2016-10",,,,,"0","5,S","0","5,S",,,,,,,,,,,,,"0.00","5,,S,31,+",,,,,,,"0.00","5,,,S",,,,,,
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2016-11",,,,,"1","1,S","0","1,S",,,,,,,,,,,,,"0.04","1,,S,13,",,,,,,,"0.04","1,,,S",,,,,,
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2016-12",,,,,"0",",S","0",",S",,,,,,,,,,,,,"0.00",",,S,31,+",,,,,,,"0.00",",,,S",,,,,,
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2017-01",,,,,"9",",S","7",",S",,,,,,,,,,,,,"1.54",",,S,27,",,,,,,,"4.59",",,,S",,,,,,
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2017-02",,,,,"4",",S","2",",S",,,,,,,,,,,,,"0.58",",,S,05,",,,,,,,"0.72",",,,S",,,,,,
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2017-03",,,,,"6",",S","3",",S",,,,,,,,,,,,,"0.56",",,S,09,",,,,,,,"1.06",",,,S",,,,,,
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2017-04",,,,,"7","1,S","4","1,S",,,,,,,,,,,,,"7.87","1,,S,07,",,,,,,,"9.64","1,,,S",,,,,,
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2017-05",,,,,"5","1,S","4","1,S",,,,,,,,,,,,,"0.54","1,,S,22,",,,,,,,"1.36","1,,,S",,,,,,
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2017-06",,,,,"9","1,S","6","1,S",,,,,,,,,,,,,"1.34","1,,S,30,",,,,,,,"4.44","1,,,S",,,,,,
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2017-07",,,,,"18","1,S","13","1,S",,,,,,,,,,,,,"3.15","1,,S,19,",,,,,,,"14.17","1,,,S",,,,,,
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2017-08",,,,,"14",",S","9",",S",,,,,,,,,,,,,"3.09",",,S,25,",,,,,,,"12.79",",,,S",,,,,,
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2017-09",,,,,"4",",S","3",",S",,,,,,,,,,,,,"1.26",",,S,03,",,,,,,,"1.65",",,,S",,,,,,
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2017-10",,,,,"0",",S","0",",S",,,,,,,,,,,,,"0.00",",,S,31,+",,,,,,,"0.00",",,,S",,,,,,
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2017-11",,,,,"1","1,S","0","1,S",,,,,,,,,,,,,"0.08","1,,S,15,",,,,,,,"0.08","1,,,S",,,,,,
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2017-12",,,,,"2",",S","1",",S",,,,,,,,,,,,,"1.12",",,S,12,",,,,,,,"1.20",",,,S",,,,,,
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2018-01",,,,,"1",",S","1",",S",,,,,,,,,,,,,"0.31",",,S,24,",,,,,,,"0.31",",,,S",,,,,,
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2018-02",,,,,"4",",S","3",",S",,,,,,,,,,,,,"0.63",",,S,12,",,,,,,,"1.38",",,,S",,,,,,
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2018-03",,,,,"4",",S","1",",S",,,,,,,,,,,,,"0.11",",,S,22,",,,,,,,"0.23",",,,S",,,,,,
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2018-04",,,,,"8","1,S","5","1,S",,,,,,,,,,,,,"12.20","1,,S,11,",,,,,,,"13.26","1,,,S",,,,,,
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2018-05",,,,,"5","1,S","3","1,S",,,,,,,,,,,,,"0.24","1,,S,07,",,,,,,,"0.57","1,,,S",,,,,,
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2018-06",,,,,"6","2,S","4","2,S",,,,,,,,,,,,,"1.56","2,,S,29,",,,,,,,"2.99","2,,,S",,,,,,
"PKM00041600","SIALKOT, PK","32.5","74.533","256.0","2018-07",,,,,"14","2,S","12","2,S",,,,,,,,,,,,,"2.76","2,,S,13,",,,,,,,"11.89","2,,,S",,,,,,
